FIPS,Admin2,Province_State,Population,Cumulative deaths by /30/20,cumulative_deaths_by_100k_pop,FIPS,Admin2,Cumulative confirmed cases by 03/09/2023,cumulative_confirmed_cases_by_100k_pop
1001,Autauga,Alabama,55869,27,1.684192866,1001,Autauga,19790,35422.14824
1003,Baldwin,Alabama,223234,52,1.367243002,1003,Baldwin,69860,31294.51607
1005,Barbour,Alabama,24686,7,1.452647315,1005,Barbour,7485,30320.82962
1007,Bibb,Alabama,22394,11,1.691261011,1007,Bibb,8091,36130.21345
1009,Blount,Alabama,57826,15,1.413968107,1009,Blount,18704,32345.3118
1011,Bullock,Alabama,10101,15,2.171726888,1011,Bullock,3030,29997.03
1013,Butler,Alabama,19448,40,2.313185046,1013,Butler,6551,33684.69766
1015,Calhoun,Alabama,113605,44,1.58805523,1015,Calhoun,41421,36460.54311
1017,Chambers,Alabama,33254,42,2.101405398,1017,Chambers,10859,32654.71823
1019,Cherokee,Alabama,26196,13,1.695708371,1019,Cherokee,6755,25786.3796
1021,Chilton,Alabama,44428,30,1.829464491,1021,Chilton,13009,29281.084
1023,Choctaw,Alabama,12589,12,1.979190013,1023,Choctaw,2259,17944.23703
1025,Clarke,Alabama,23622,16,1.830803317,1025,Clarke,8553,36207.77242
1027,Clay,Alabama,13235,9,1.832518564,1027,Clay,5162,39002.6445
1029,Cleburne,Alabama,14910,5,1.525492361,1029,Cleburne,4428,29698.18913
1031,Coffee,Alabama,52342,6,1.059300937,1031,Coffee,17185,32832.14245
1033,Colbert,Alabama,55241,26,1.672711816,1033,Colbert,21291,38542.02495
1035,Conecuh,Alabama,12067,11,1.959793372,1035,Conecuh,3604,29866.57827
1037,Coosa,Alabama,10663,3,1.449241845,1037,Coosa,3776,35412.17293
1039,Covington,Alabama,37049,28,1.878381541,1039,Covington,11804,31860.50906
1041,Crenshaw,Alabama,13772,32,2.366152964,1041,Crenshaw,4738,34403.1368
1043,Cullman,Alabama,83768,20,1.377951849,1043,Cullman,31520,37627.73374
1045,Dale,Alabama,49172,44,1.951734804,1045,Dale,16507,33569.91784
1047,Dallas,Alabama,37196,26,1.844477109,1047,Dallas,11031,29656.41467
1049,DeKalb,Alabama,71513,21,1.467834298,1049,DeKalb,22522,31493.57459
1051,Elmore,Alabama,81209,48,1.771637075,1051,Elmore,29837,36741.00161
1053,Escambia,Alabama,36633,24,1.816338756,1053,Escambia,12367,33759.17888
1055,Etowah,Alabama,102268,45,1.643472751,1055,Etowah,34229,33469.90261
1057,Fayette,Alabama,16302,11,1.829151796,1057,Fayette,5887,36112.13348
1059,Franklin,Alabama,31362,30,1.980717504,1059,Franklin,12033,38368.08877
1061,Geneva,Alabama,26271,5,1.2794934,1061,Geneva,7969,30333.82818
1063,Greene,Alabama,8111,15,2.267016858,1063,Greene,2309,28467.51325
1065,Hale,Alabama,14651,28,2.281290763,1065,Hale,5728,39096.30742
1067,Henry,Alabama,17205,5,1.463315327,1067,Henry,5866,34094.7399
1069,Houston,Alabama,105882,21,1.297397159,1069,Houston,32660,30845.65837
1071,Jackson,Alabama,51626,12,1.366312769,1071,Jackson,18379,35600.27893
1073,Jefferson,Alabama,658573,352,1.727938742,1073,Jefferson,238727,36249.13259
1075,Lamar,Alabama,13805,2,1.160993585,1075,Lamar,4737,34313.65447
1077,Lauderdale,Alabama,92729,34,1.564263341,1077,Lauderdale,30406,32790.17352
1079,Lawrence,Alabama,32924,25,1.880427416,1079,Lawrence,9389,28517.19111
1081,Lee,Alabama,164542,61,1.569053063,1081,Lee,47646,28956.74053
1083,Limestone,Alabama,98915,20,1.30576784,1083,Limestone,32150,32502.65379
1085,Lowndes,Alabama,9726,27,2.443429499,1085,Lowndes,3370,34649.39338
1087,Macon,Alabama,18068,18,1.998362423,1087,Macon,5293,29294.88599
1089,Madison,Alabama,372909,80,1.331487122,1089,Madison,116086,31129.84669
1091,Marengo,Alabama,18863,20,2.025419231,1091,Marengo,6093,32301.33065
1093,Marion,Alabama,29709,29,1.989509964,1093,Marion,10113,34040.18984
1095,Marshall,Alabama,96774,45,1.667453821,1095,Marshall,32967,34065.96813
1097,Mobile,Alabama,413210,295,1.853651193,1097,Mobile,134986,32667.65083
1099,Monroe,Alabama,20733,8,1.586427839,1099,Monroe,6742,32518.20769
1101,Montgomery,Alabama,226486,187,1.916800245,1101,Montgomery,73840,32602.45666
1103,Morgan,Alabama,119679,29,1.384380046,1103,Morgan,46540,38887.35701
1105,Perry,Alabama,8923,6,1.827640357,1105,Perry,2673,29956.29273
1107,Pickens,Alabama,19930,15,1.87658396,1107,Pickens,6339,31806.32213
1109,Pike,Alabama,33114,11,1.521381041,1109,Pike,9264,27976.08262
1111,Randolph,Alabama,22722,13,1.757496797,1111,Randolph,6527,28725.46431
1113,Russell,Alabama,57961,3,0.713985385,1113,Russell,13030,22480.63353
1115,St. Clair,Alabama,89512,37,1.616320463,1115,St. Clair,33302,37203.95031
1117,Shelby,Alabama,217702,50,1.361107585,1117,Shelby,78112,35880.23996
1119,Sumter,Alabama,12427,19,2.184387303,1119,Sumter,3176,25557.25437
1121,Talladega,Alabama,79978,30,1.574150715,1121,Talladega,28602,35762.33464
1123,Tallapoosa,Alabama,40367,85,2.323392451,1123,Tallapoosa,14611,36195.40714
1125,Tuscaloosa,Alabama,209355,118,1.75099867,1125,Tuscaloosa,70976,33902.2235
1127,Walker,Alabama,63521,87,2.136601926,1127,Walker,24154,38025.22001
1129,Washington,Alabama,16326,12,1.866301454,1129,Washington,4397,26932.50031
1131,Wilcox,Alabama,10373,11,2.025488307,1131,Wilcox,3659,35274.26974
1133,Winston,Alabama,23629,12,1.705735904,1133,Winston,9427,39895.89064
2013,Aleutians East,Alaska,3337,0,0,2013,Aleutians East,1332,39916.0923
2016,Aleutians West,Alaska,5634,0,0,2016,Aleutians West,2003,35552.00568
2020,Anchorage,Alaska,288000,35,1.084675557,2020,Anchorage,124334,43171.52778
2050,Bethel,Alaska,18386,1,0.735512744,2050,Bethel,13021,70820.18927
2060,Bristol Bay,Alaska,836,0,0,2060,Bristol Bay,0,0
2063,Chugach,Alaska,6751,0,0,2063,Chugach,2407,35653.97719
2066,Copper River,Alaska,2699,0,0,2066,Copper River,1326,49129.30715
2068,Denali,Alaska,2097,0,0,2068,Denali,1803,85979.97139
2070,Dillingham,Alaska,4916,0,0,2070,Dillingham,2271,46196.09439
2090,Fairbanks North Star,Alaska,96849,11,1.055297544,2090,Fairbanks North Star,33699,34795.40315
2100,Haines,Alaska,2530,0,0,2100,Haines,798,31541.50198
2105,Hoonah-Angoon,Alaska,2148,0,0,2105,Hoonah-Angoon,0,0
2110,Juneau,Alaska,31974,1,0.495203029,2110,Juneau,11995,37514.85582
2122,Kenai Peninsula,Alaska,58708,3,0.708423969,2122,Kenai Peninsula,22694,38655.71983
2130,Ketchikan Gateway,Alaska,13901,0,0,2130,Ketchikan Gateway,5148,37033.30696
2150,Kodiak Island,Alaska,12998,0,0,2150,Kodiak Island,5899,45383.90522
2158,Kusilvak,Alaska,8314,0,0,2158,Kusilvak,4952,59562.18427
2164,Bristol Bay plus Lake and Peninsula,Alaska,1592,0,0,2164,Bristol Bay plus Lake and Peninsula,1240,77889.44724
2170,Matanuska-Susitna,Alaska,108317,2,0.266333373,2170,Matanuska-Susitna,40792,37659.83179
2180,Nome,Alaska,10004,0,0,2180,Nome,7617,76139.54418
2185,North Slope,Alaska,9832,0,0,2185,North Slope,5532,56265.25631
2188,Northwest Arctic,Alaska,7621,0,0,2188,Northwest Arctic,5794,76026.76814
2195,Petersburg,Alaska,3266,1,1.48598382,2195,Petersburg,940,28781.38396
2198,Prince of Wales-Hyder,Alaska,6203,0,0,2198,Prince of Wales-Hyder,1848,29792.03611
2220,Sitka,Alaska,8493,0,0,2220,Sitka,3521,41457.67102
2230,Skagway,Alaska,1183,0,0,2230,Skagway,675,57058.32629
2240,Southeast Fairbanks,Alaska,6893,0,0,2240,Southeast Fairbanks,2482,36007.54389
2261,Valdez-Cordova,Alaska,9202,0,0,2261,Valdez-Cordova,0,0
2275,Wrangell,Alaska,2502,0,0,2275,Wrangell,786,31414.86811
2282,Yakutat,Alaska,579,0,0,2282,Yakutat,983,169775.475
2290,Yukon-Koyukuk,Alaska,5230,2,1.582528307,2290,Yukon-Koyukuk,1757,33594.64627
4001,Apache,Arizona,71887,165,2.360833584,4001,Apache,36336,50545.9958
4003,Cochise,Arizona,125922,72,1.757230883,4003,Cochise,39086,31039.85007
4005,Coconino,Arizona,143476,144,2.001583232,4005,Coconino,52821,36815.21648
4007,Gila,Arizona,54018,56,2.015649526,4007,Gila,21401,39618.27539
4009,Graham,Arizona,38837,25,1.808694334,4009,Graham,14101,36308.15974
4011,Greenlee,Arizona,9498,1,1.022367835,4011,Greenlee,2717,28606.02232
4012,La Paz,Arizona,21108,15,1.851644174,4012,La Paz,5950,28188.3646
4013,Maricopa,Arizona,4485414,3392,1.878653309,4013,Maricopa,1530296,34117.16288
4015,Mohave,Arizona,212181,226,2.027401947,4015,Mohave,67291,31713.96119
4017,Navajo,Arizona,110924,235,2.32604234,4017,Navajo,48374,43610.03931
4019,Pima,Arizona,1047279,620,1.772329294,4019,Pima,317052,30273.88117
4021,Pinal,Arizona,462789,208,1.652680307,4021,Pinal,156974,33919.12945
4023,Santa Cruz,Arizona,46498,63,2.131906276,4023,Santa Cruz,19628,42212.56828
4025,Yavapai,Arizona,235099,82,1.542563071,4025,Yavapai,60313,25654.29883
